iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.595212,
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,710000.0,tonnes,annual,2023-10-03 21:10:38.595194,
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,710000.0,tonnes,annual,2023-10-03 21:10:38.595232,
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,710000.0,tonnes,annual,2023-10-03 21:10:38.59524,
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.595222,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.595911,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,722000.0,tonnes,annual,2023-10-03 21:10:38.595898,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,722000.0,tonnes,annual,2023-10-03 21:10:38.595928,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,722000.0,tonnes,annual,2023-10-03 21:10:38.595936,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.59592,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.59649,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,749000.0,tonnes,annual,2023-10-03 21:10:38.596478,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,749000.0,tonnes,annual,2023-10-03 21:10:38.596507,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,749000.0,tonnes,annual,2023-10-03 21:10:38.596515,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.596499,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.59703,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,722000.0,tonnes,annual,2023-10-03 21:10:38.597018,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,722000.0,tonnes,annual,2023-10-03 21:10:38.597047,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,722000.0,tonnes,annual,2023-10-03 21:10:38.597055,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.597039,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.597573,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,733000.0,tonnes,annual,2023-10-03 21:10:38.59756,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,733000.0,tonnes,annual,2023-10-03 21:10:38.59759,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,733000.0,tonnes,annual,2023-10-03 21:10:38.597597,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.597581,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.598122,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,696000.0,tonnes,annual,2023-10-03 21:10:38.598109,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,696000.0,tonnes,annual,2023-10-03 21:10:38.598139,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,696000.0,tonnes,annual,2023-10-03 21:10:38.598146,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.59813,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.598664,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,741000.0,tonnes,annual,2023-10-03 21:10:38.598645,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,741000.0,tonnes,annual,2023-10-03 21:10:38.598681,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,741000.0,tonnes,annual,2023-10-03 21:10:38.598689,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.598672,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.599198,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,1563000.0,tonnes,annual,2023-10-03 21:10:38.599185,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1563000.0,tonnes,annual,2023-10-03 21:10:38.599214,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,1563000.0,tonnes,annual,2023-10-03 21:10:38.599222,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.599206,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.599732,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,126000.0,tonnes,annual,2023-10-03 21:10:38.599719,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,126000.0,tonnes,annual,2023-10-03 21:10:38.599749,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,126000.0,tonnes,annual,2023-10-03 21:10:38.599757,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.599741,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.600263,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,129000.0,tonnes,annual,2023-10-03 21:10:38.600251,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,129000.0,tonnes,annual,2023-10-03 21:10:38.60028,
