iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,24.189516,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
ABW,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,127575.4222,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
ABW,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,129586.568518,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
ABW,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,130936.148056,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
ABW,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,5.033358,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:54.252158
ABW,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,23.951429,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
ABW,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,130193.0138,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
ABW,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,132401.210047,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
ABW,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,133736.687972,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
ABW,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,5.802099,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
ABW,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,23.619464,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
ABW,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,127862.2033,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
ABW,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,130021.565732,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
ABW,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,131338.60282,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
ABW,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,5.652896,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.403281
ABW,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,26.362983,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
ABW,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,140979.1443,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
ABW,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,143147.58437400003,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
ABW,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,144618.51415200002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
ABW,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,5.39727,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
ABW,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,29.647746,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
ABW,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,161578.0471,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
ABW,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,164095.007303,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
ABW,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,165748.915708,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
ABW,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,6.365371,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
ABW,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,25.134694999999997,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
