Country Code,transportation,coal,cropland,residential_commercial,forest_clearing,petrochemicals,electricity_generation,incineration_open_burning,FactValueNumeric
AFG,57287238.85623893,12379909.712303609,30471643.670132432,8294333.602162,86320.59255614877,0.0,1929000.0,609511.0304119999,44151.0
AGO,165700485.79327828,0.0,70270866.54014635,48725557.518106,1024659061.4318848,0.0,37539000.0,501877.598049,16997.28
ALB,25356251.47272,370921.75066312996,1866232.1270262427,11471371.898845,4995076.3285160065,0.0,0.0,207882.65659,6088.429999999999
ARE,519022771.044163,0.0,160137.7276588141,9554345.966645,0.0,72806116.90637,1217688000.0,1615315.806498,3599.55
ARG,640906682.651203,199727.09651091616,770694833.4680351,582178398.423135,448795051.57470703,11506816.505677,759045000.0,2238038.145717,34992.3
ARM,33596141.324884,0.0,943494.5274125583,24341545.647761,32051.555521320555,0.0,24819000.0,1266639.383266,7025.799999999999
ATG,1323383.264425,0.0,518.252725064,364148.067285,302909.0487398207,0.0,4131000.0,8844.692721,43.16
AUS,1248115059.343518,1570442194.672699,257065125.75590885,318720546.374403,3758322578.430176,7599057.43829,2421159000.0,5217473.334703,8465.699999999999
AUT,337772579.853736,0.0,4499223.717193033,126404078.6298,152859570.98007202,10012334.312725,130332000.0,2950241.568592,9460.5
AZE,108335401.414084,0.0,8406626.696612844,135467414.220169,290950.9520977735,3828522.1554538,208563000.0,785560.494142,20777.7
BDI,10890182.074901737,0.0,6911182.2755628405,769367.464774,5953661.888837814,0.0,1440000.0,303688.366597,6830.13
BEL,341258217.89657897,0.0,2394171.3460894595,356434498.745016,28453712.582588196,45679828.71862,196236000.0,9199221.119822,10403.7
BEN,99186509.194811,0.0,25396082.690836206,5805427.864635,29159792.66166687,0.0,2280000.0,32848.373958000004,10064.289999999999
BFA,30891784.025835354,0.0,37132931.88347401,4801961.063017,2108471.2743759155,0.0,18741000.0,41.358000000000004,15392.71
BGD,144632858.75686702,5442848.704346051,181792224.46711394,191731707.977733,71586402.65464783,0.0,687210000.0,65417.96000000001,154106.0
BGR,141412632.150783,19355140.787594367,29811364.064448465,24672279.808223,28248360.514640808,0.0,306048000.0,31633798.958295,23679.8
BHR,52541273.862942,0.0,85.003864963,3870377.472388,0.0,0.0,321327000.0,208705.34887,766.24
BHS,6897070.838063,0.0,153997.610746095,1899272.995783,3879717.998206616,0.0,26526000.0,82534.531719,88.82
BIH,56365377.998263,19694951.645672653,4032913.9737477144,12947879.043435,9675264.358520508,0.0,156744000.0,282279.946739,8057.8
BLR,144327297.539424,0.0,15829746.271381874,105865220.526425,363082860.9466553,0.0,194706000.0,6063945.911407,26548.8
BLZ,1130074.05387,0.0,4383494.239350128,311216.09372,57760499.238967896,0.0,4806000.0,1751.5,106.32
BOL,199402895.53061718,0.0,64162318.19568358,40509833.544951,2322465362.548828,0.0,52398000.0,301265.013373,11400.94
BRA,2696738358.2684,3380207.980552762,3427606284.8400545,623709968.9693279,15476090515.136717,75694779.386561,944109000.0,20304516.10979,109273.0
BRB,2889913.48513,0.0,233744.091615,801285.410439,158898.42517208308,0.0,12318000.0,28571.294256,237.57999999999998
BRN,19508283.022598,0.0,70563.16881563974,1460675.980284,4239392.280578613,0.0,51819000.0,141777.657392,112.89
BTN,3693854.9414930004,60869.21036523159,606002.9523471438,1434674.581198,45772175.788879395,0.0,0.0,823.288507,692.61
BWA,34348697.496155,5377414.303203429,4558285.820539202,1854844.651719,153859.00251567364,0.0,48567000.0,64111.954477,1461.7399999999998
